sale_id,sale_date,medicine_id,batch_no,quantity_sold,unit_price,discount_pct,total_amount,payment_mode
SALE019545,2025-04-26,MED056,MED056-B03,3,341.61,0,1024.83,UPI
SALE022416,2025-04-26,MED020,MED020-B02,7,153.86,5,1023.17,Card
SALE025120,2025-04-26,MED081,MED081-B01,7,421.83,10,2657.53,UPI
SALE026274,2025-04-26,MED089,MED089-B03,4,577.80,0,2311.20,UPI
SALE027626,2025-04-26,MED089,MED089-B03,8,543.75,0,4350.00,Card
SALE000433,2025-04-27,MED033,MED033-B02,3,32.23,0,96.69,Cash
SALE001934,2025-04-27,MED028,MED028-B05,5,49.04,0,245.20,UPI
SALE004537,2025-04-27,MED052,MED052-B04,3,605.08,0,1815.24,Card
SALE005837,2025-04-27,MED028,MED028-B05,3,49.70,5,141.65,Cash
SALE006626,2025-04-27,MED066,MED066-B04,7,313.85,10,1977.26,UPI
SALE010820,2025-04-27,MED095,MED095-B03,8,739.02,12,5202.70,UPI
SALE011523,2025-04-27,MED002,MED002-B03,6,583.73,10,3152.14,UPI
SALE012290,2025-04-27,MED048,MED048-B04,7,226.75,0,1587.25,Card
SALE012455,2025-04-27,MED068,MED068-B02,7,308.63,0,2160.41,UPI
SALE012844,2025-04-27,MED016,MED016-B04,7,55.41,0,387.87,UPI
SALE012900,2025-04-27,MED080,MED080-B01,5,355.87,12,1565.83,Cash
SALE013461,2025-04-27,MED012,MED012-B01,4,300.37,5,1141.41,UPI
SALE014679,2025-04-27,MED078,MED078-B03,1,402.08,12,353.83,UPI
SALE015081,2025-04-27,MED020,MED020-B02,3,142.27,0,426.81,Cash
SALE015287,2025-04-27,MED018,MED018-B03,3,606.99,0,1820.97,Card
SALE016151,2025-04-27,MED054,MED054-B04,1,339.33,0,339.33,Cash
SALE017772,2025-04-27,MED056,MED056-B03,4,387.33,12,1363.40,Card
SALE020957,2025-04-27,MED018,MED018-B03,5,602.95,10,2713.28,Cash
SALE022795,2025-04-27,MED059,MED059-B02,2,309.15,10,556.47,Card
SALE023264,2025-04-27,MED078,MED078-B03,8,421.22,0,3369.76,UPI
SALE023551,2025-04-27,MED056,MED056-B03,6,355.58,12,1877.46,Card
SALE026490,2025-04-27,MED028,MED028-B04,1,44.23,0,44.23,Cash
SALE027592,2025-04-27,MED030,MED030-B03,6,265.65,12,1402.63,Card
SALE000563,2025-04-28,MED082,MED082-B03,7,162.18,10,1021.73,Card
SALE001849,2025-04-28,MED053,MED053-B03,7,354.63,0,2482.41,Card
SALE002278,2025-04-28,MED016,MED016-B04,5,57.35,0,286.75,Cash
SALE003820,2025-04-28,MED080,MED080-B01,1,322.11,5,306.00,Cash
SALE005134,2025-04-28,MED018,MED018-B03,3,586.54,0,1759.62,Card
SALE005350,2025-04-28,MED074,MED074-B05,1,111.47,5,105.90,Cash
SALE005993,2025-04-28,MED068,MED068-B02,1,294.80,5,280.06,Cash
SALE006585,2025-04-28,MED033,MED033-B02,1,33.15,5,31.49,UPI
SALE008236,2025-04-28,MED033,MED033-B02,8,31.75,12,223.52,UPI
SALE008556,2025-04-28,MED078,MED078-B03,1,406.82,0,406.82,UPI
SALE008693,2025-04-28,MED020,MED020-B02,6,148.31,12,783.08,Cash
SALE009293,2025-04-28,MED083,MED083-B01,4,69.92,5,265.70,UPI
SALE009394,2025-04-28,MED073,MED073-B03,1,189.98,0,189.98,Cash
SALE010489,2025-04-28,MED086,MED086-B02,2,749.77,0,1499.54,UPI
SALE011273,2025-04-28,MED001,MED001-B05,1,419.34,0,419.34,Cash
SALE012467,2025-04-28,MED059,MED059-B02,3,307.12,0,921.36,Card
SALE015233,2025-04-28,MED081,MED081-B05,5,436.51,0,2182.55,Card
SALE015265,2025-04-28,MED068,MED068-B02,3,283.21,0,849.63,Card
SALE015650,2025-04-28,MED052,MED052-B04,4,544.08,12,1915.16,Card
SALE018726,2025-04-28,MED059,MED059-B02,2,283.29,12,498.59,Card
SALE019956,2025-04-28,MED018,MED018-B03,8,566.14,10,4076.21,Cash
SALE019980,2025-04-28,MED030,MED030-B03,6,233.91,10,1263.11,UPI
SALE024227,2025-04-28,MED078,MED078-B03,8,426.50,10,3070.80,Cash
SALE027540,2025-04-28,MED044,MED044-B02,3,67.90,5,193.52,UPI
SALE000626,2025-04-29,MED080,MED080-B01,2,364.52,0,729.04,Card
SALE000725,2025-04-29,MED044,MED044-B03,4,69.27,0,277.08,Cash
SALE002000,2025-04-29,MED059,MED059-B02,8,304.96,5,2317.70,Cash
SALE002052,2025-04-29,MED028,MED028-B05,6,48.91,10,264.11,Cash
SALE002248,2025-04-29,MED020,MED020-B02,5,157.22,0,786.10,Card
SALE002447,2025-04-29,MED008,MED008-B02,5,125.06,0,625.30,Card
SALE004326,2025-04-29,MED081,MED081-B05,7,412.11,10,2596.29,Cash
SALE004811,2025-04-29,MED008,MED008-B02,6,115.32,0,691.92,Cash
SALE006881,2025-04-29,MED012,MED012-B01,7,290.74,0,2035.18,Card
SALE007461,2025-04-29,MED076,MED076-B03,8,146.35,0,1170.80,Card
SALE007699,2025-04-29,MED056,MED056-B03,4,350.44,12,1233.55,UPI
SALE007928,2025-04-29,MED014,MED014-B01,3,353.95,0,1061.85,UPI
SALE009199,2025-04-29,MED044,MED044-B03,3,69.82,0,209.46,UPI
SALE011427,2025-04-29,MED002,MED002-B03,1,585.60,10,527.04,Card
SALE012041,2025-04-29,MED057,MED057-B01,5,467.64,0,2338.20,UPI
SALE012214,2025-04-29,MED057,MED057-B03,3,453.50,0,1360.50,Cash
SALE021476,2025-04-29,MED089,MED089-B03,1,564.39,0,564.39,Cash
SALE022951,2025-04-29,MED080,MED080-B01,7,327.06,0,2289.42,Cash
SALE025737,2025-04-29,MED089,MED089-B03,1,519.38,0,519.38,Cash
SALE026669,2025-04-29,MED080,MED080-B04,3,331.42,0,994.26,Cash
SALE028508,2025-04-29,MED030,MED030-B03,4,242.56,0,970.24,UPI
SALE003331,2025-04-30,MED074,MED074-B05,6,117.18,0,703.08,UPI
SALE004903,2025-04-30,MED044,MED044-B03,3,66.48,5,189.47,Card
SALE006067,2025-04-30,MED005,MED005-B04,2,752.96,12,1325.21,Cash
SALE006087,2025-04-30,MED039,MED039-B03,6,540.11,0,3240.66,Cash
SALE006194,2025-04-30,MED083,MED083-B03,2,73.02,0,146.04,Card
SALE006294,2025-04-30,MED066,MED066-B04,2,319.33,5,606.73,UPI
SALE007509,2025-04-30,MED056,MED056-B03,2,374.94,12,659.89,Card
SALE007649,2025-04-30,MED037,MED037-B02,2,332.79,10,599.02,UPI
SALE009049,2025-04-30,MED033,MED033-B02,6,33.37,0,200.22,UPI
SALE009800,2025-04-30,MED082,MED082-B03,8,159.70,5,1213.72,Cash
SALE009870,2025-04-30,MED056,MED056-B03,7,348.21,0,2437.47,UPI
SALE012080,2025-04-30,MED078,MED078-B03,2,427.59,5,812.42,Card
SALE012161,2025-04-30,MED057,MED057-B01,1,416.91,12,366.88,UPI
SALE013035,2025-04-30,MED091,MED091-B03,1,422.92,12,372.17,UPI
SALE013757,2025-04-30,MED044,MED044-B03,5,70.91,0,354.55,Card
SALE014852,2025-04-30,MED052,MED052-B04,7,599.14,10,3774.58,Cash
SALE014933,2025-04-30,MED054,MED054-B04,7,336.89,10,2122.41,UPI
SALE015411,2025-04-30,MED081,MED081-B05,3,409.85,0,1229.55,UPI
SALE015640,2025-04-30,MED002,MED002-B03,7,538.56,10,3392.93,UPI
SALE016075,2025-04-30,MED068,MED068-B02,5,316.45,12,1392.38,Card
SALE016287,2025-04-30,MED089,MED089-B03,7,584.11,0,4088.77,UPI
SALE019105,2025-04-30,MED028,MED028-B04,7,48.64,12,299.62,UPI
SALE020487,2025-04-30,MED081,MED081-B01,1,412.23,10,371.01,Cash
SALE024238,2025-04-30,MED080,MED080-B04,5,352.22,10,1584.99,UPI
SALE027781,2025-04-30,MED059,MED059-B02,4,297.47,5,1130.39,UPI
SALE000501,2025-05-01,MED081,MED081-B05,2,421.45,0,842.90,UPI
SALE002584,2025-05-01,MED085,MED085-B02,1,464.12,0,464.12,UPI
SALE002687,2025-05-01,MED030,MED030-B03,3,250.54,5,714.04,Cash
SALE003037,2025-05-01,MED048,MED048-B04,8,199.32,0,1594.56,Card
SALE003579,2025-05-01,MED083,MED083-B03,1,64.72,0,64.72,Cash
SALE003668,2025-05-01,MED054,MED054-B04,6,343.15,10,1853.01,Card
SALE003742,2025-05-01,MED082,MED082-B03,4,155.63,12,547.82,UPI
SALE004433,2025-05-01,MED082,MED082-B03,8,156.15,0,1249.20,Cash
SALE004458,2025-05-01,MED073,MED073-B03,3,189.29,0,567.87,UPI
SALE006011,2025-05-01,MED036,MED036-B02,5,606.26,12,2667.54,Card
SALE007308,2025-05-01,MED085,MED085-B02,5,480.81,0,2404.05,UPI
SALE007978,2025-05-01,MED044,MED044-B03,1,67.43,0,67.43,Cash
SALE009118,2025-05-01,MED033,MED033-B02,7,34.62,12,213.26,UPI
SALE009632,2025-05-01,MED052,MED052-B04,8,577.27,5,4387.25,UPI
SALE011030,2025-05-01,MED044,MED044-B03,6,67.56,5,385.09,Card
SALE011773,2025-05-01,MED078,MED078-B03,7,411.07,10,2589.74,Card
SALE012786,2025-05-01,MED078,MED078-B03,7,412.22,5,2741.26,Card
SALE012940,2025-05-01,MED037,MED037-B02,8,338.17,0,2705.36,UPI
SALE014051,2025-05-01,MED002,MED002-B03,5,589.26,12,2592.74,Cash
SALE014461,2025-05-01,MED001,MED001-B05,7,387.31,0,2711.17,Cash
SALE014465,2025-05-01,MED037,MED037-B02,8,327.05,12,2302.43,Card
SALE014887,2025-05-01,MED037,MED037-B02,5,330.27,12,1453.19,Card
SALE017351,2025-05-01,MED012,MED012-B01,2,315.30,0,630.60,Cash
SALE018572,2025-05-01,MED059,MED059-B02,3,288.79,5,823.05,Card
SALE020303,2025-05-01,MED078,MED078-B03,3,428.91,0,1286.73,Card
SALE021513,2025-05-01,MED070,MED070-B01,3,326.75,10,882.23,Cash
SALE022531,2025-05-01,MED080,MED080-B01,8,335.36,0,2682.88,Card
SALE023459,2025-05-01,MED089,MED089-B03,5,546.94,5,2597.97,Cash
SALE024038,2025-05-01,MED028,MED028-B04,5,47.28,5,224.58,UPI
SALE024346,2025-05-01,MED070,MED070-B01,3,354.36,10,956.77,Cash
SALE024663,2025-05-01,MED070,MED070-B01,1,348.43,0,348.43,Cash
SALE025669,2025-05-01,MED081,MED081-B01,4,411.13,0,1644.52,Cash
SALE000962,2025-05-02,MED083,MED083-B03,3,70.86,10,191.32,UPI
SALE002351,2025-05-02,MED001,MED001-B05,5,382.56,0,1912.80,UPI
SALE002472,2025-05-02,MED014,MED014-B01,4,373.20,5,1418.16,Cash
SALE002498,2025-05-02,MED012,MED012-B01,1,317.25,0,317.25,Cash
SALE002531,2025-05-02,MED033,MED033-B02,4,33.24,0,132.96,Cash
SALE003272,2025-05-02,MED003,MED003-B03,1,256.23,12,225.48,Cash
SALE003478,2025-05-02,MED020,MED020-B02,8,139.58,5,1060.81,Cash
SALE003950,2025-05-02,MED023,MED023-B05,1,516.43,0,516.43,Cash
SALE004126,2025-05-02,MED044,MED044-B03,1,70.80,12,62.30,Cash
SALE004630,2025-05-02,MED022,MED022-B04,3,159.44,0,478.32,Card
SALE007264,2025-05-02,MED052,MED052-B04,4,565.38,0,2261.52,Card
SALE008058,2025-05-02,MED066,MED066-B04,7,320.48,0,2243.36,UPI
SALE008358,2025-05-02,MED016,MED016-B04,6,60.42,12,319.02,Card
SALE008645,2025-05-02,MED012,MED012-B01,6,287.27,0,1723.62,Cash
SALE009738,2025-05-02,MED054,MED054-B04,2,353.84,0,707.68,Cash
SALE010245,2025-05-02,MED081,MED081-B05,7,402.85,0,2819.95,UPI
SALE010588,2025-05-02,MED002,MED002-B03,3,571.93,12,1509.90,UPI
SALE010612,2025-05-02,MED040,MED040-B03,7,528.85,12,3257.72,Cash
SALE012734,2025-05-02,MED081,MED081-B05,8,389.68,12,2743.35,UPI
SALE012880,2025-05-02,MED002,MED002-B03,5,556.09,12,2446.80,Card
SALE015849,2025-05-02,MED040,MED040-B03,4,493.54,0,1974.16,UPI
SALE016189,2025-05-02,MED083,MED083-B01,8,66.50,10,478.80,Cash
SALE016224,2025-05-02,MED054,MED054-B04,7,373.81,0,2616.67,Cash
SALE019009,2025-05-02,MED089,MED089-B03,7,565.72,5,3762.04,Cash
SALE019954,2025-05-02,MED070,MED070-B01,6,328.04,0,1968.24,Cash
SALE021583,2025-05-02,MED040,MED040-B03,1,486.63,0,486.63,Card
SALE024439,2025-05-02,MED089,MED089-B03,7,589.67,12,3632.37,Cash
SALE027294,2025-05-02,MED080,MED080-B04,4,332.90,0,1331.60,Cash
SALE028171,2025-05-02,MED070,MED070-B01,8,339.47,12,2389.87,UPI
SALE001606,2025-05-03,MED033,MED033-B02,4,33.12,0,132.48,UPI
SALE002004,2025-05-03,MED074,MED074-B05,4,118.08,12,415.64,Cash
SALE005101,2025-05-03,MED036,MED036-B02,8,615.97,10,4434.98,Card
SALE005742,2025-05-03,MED018,MED018-B03,8,625.33,10,4502.38,Card
SALE006440,2025-05-03,MED090,MED090-B04,6,466.55,12,2463.38,Card
SALE007232,2025-05-03,MED089,MED089-B03,3,577.45,0,1732.35,UPI
SALE007389,2025-05-03,MED001,MED001-B05,1,416.06,5,395.26,UPI
SALE007600,2025-05-03,MED044,MED044-B03,2,72.59,0,145.18,Card
SALE007678,2025-05-03,MED082,MED082-B03,7,158.34,0,1108.38,UPI
SALE008209,2025-05-03,MED052,MED052-B04,6,584.39,0,3506.34,Card
SALE008565,2025-05-03,MED074,MED074-B05,2,118.83,10,213.89,Cash
SALE008569,2025-05-03,MED033,MED033-B02,8,31.30,0,250.40,Card
SALE009035,2025-05-03,MED094,MED094-B03,2,60.07,0,120.14,Cash
SALE010037,2025-05-03,MED095,MED095-B03,1,752.19,10,676.97,Card
SALE010425,2025-05-03,MED054,MED054-B04,1,348.25,0,348.25,Card
SALE011072,2025-05-03,MED012,MED012-B01,6,311.28,0,1867.68,UPI
SALE011307,2025-05-03,MED012,MED012-B01,5,282.26,12,1241.94,UPI
SALE012141,2025-05-03,MED044,MED044-B03,5,66.45,0,332.25,Card
SALE012863,2025-05-03,MED068,MED068-B02,5,295.16,0,1475.80,Card
SALE013490,2025-05-03,MED081,MED081-B05,5,402.22,12,1769.77,UPI
SALE014834,2025-05-03,MED030,MED030-B03,1,260.61,0,260.61,Cash
SALE015401,2025-05-03,MED044,MED044-B03,1,71.01,0,71.01,Cash
SALE015488,2025-05-03,MED080,MED080-B01,3,351.77,5,1002.54,Card
SALE016055,2025-05-03,MED083,MED083-B01,1,68.64,12,60.40,Cash
SALE016788,2025-05-03,MED080,MED080-B01,5,333.16,5,1582.51,UPI
SALE019476,2025-05-03,MED044,MED044-B02,5,69.43,5,329.79,UPI
SALE021526,2025-05-03,MED020,MED020-B02,6,152.79,5,870.90,Cash
SALE022618,2025-05-03,MED080,MED080-B01,6,357.45,0,2144.70,UPI
SALE025419,2025-05-03,MED059,MED059-B02,3,309.38,12,816.76,Card
SALE000288,2025-05-04,MED023,MED023-B05,7,478.23,0,3347.61,Cash
SALE000986,2025-05-04,MED082,MED082-B03,8,149.09,0,1192.72,UPI
SALE001552,2025-05-04,MED023,MED023-B05,2,506.40,0,1012.80,UPI
SALE001866,2025-05-04,MED036,MED036-B02,6,614.31,0,3685.86,Cash
SALE002575,2025-05-04,MED066,MED066-B04,6,332.53,5,1895.42,Cash
SALE003379,2025-05-04,MED040,MED040-B03,3,483.77,0,1451.31,Cash
SALE004019,2025-05-04,MED048,MED048-B04,2,219.50,10,395.10,UPI
SALE004591,2025-05-04,MED085,MED085-B02,8,473.96,0,3791.68,Cash
SALE005839,2025-05-04,MED039,MED039-B03,5,510.70,12,2247.08,Cash
SALE006809,2025-05-04,MED086,MED086-B02,6,730.19,10,3943.03,Cash
SALE008296,2025-05-04,MED083,MED083-B01,6,73.19,0,439.14,Cash
SALE008447,2025-05-04,MED073,MED073-B03,4,209.68,5,796.78,Cash
SALE009115,2025-05-04,MED033,MED033-B02,5,33.19,10,149.35,Card
SALE011207,2025-05-04,MED078,MED078-B03,8,400.98,12,2822.90,UPI
SALE011248,2025-05-04,MED080,MED080-B01,6,347.53,0,2085.18,Cash
SALE011274,2025-05-04,MED044,MED044-B03,3,64.55,12,170.41,UPI
SALE012414,2025-05-04,MED070,MED070-B01,2,340.31,0,680.62,Cash
SALE012459,2025-05-04,MED001,MED001-B05,5,427.28,12,1880.03,Cash
SALE013646,2025-05-04,MED078,MED078-B03,8,426.20,0,3409.60,Card
SALE015085,2025-05-04,MED002,MED002-B03,2,585.54,0,1171.08,Cash
SALE015188,2025-05-04,MED078,MED078-B03,1,402.17,5,382.06,Cash
SALE016087,2025-05-04,MED018,MED018-B03,8,597.20,12,4204.29,Card
SALE017845,2025-05-04,MED054,MED054-B04,3,358.98,0,1076.94,UPI
SALE018380,2025-05-04,MED091,MED091-B03,3,380.98,0,1142.94,UPI
SALE024302,2025-05-04,MED080,MED080-B04,5,333.99,12,1469.56,Cash
SALE024528,2025-05-04,MED080,MED080-B04,8,338.94,10,2440.37,UPI
SALE025064,2025-05-04,MED078,MED078-B03,2,408.28,12,718.57,Cash
SALE027426,2025-05-04,MED081,MED081-B01,2,419.29,0,838.58,Cash
SALE000944,2025-05-05,MED082,MED082-B03,4,151.00,12,531.52,Cash
SALE000999,2025-05-05,MED008,MED008-B02,8,125.59,5,954.48,UPI
SALE001109,2025-05-05,MED085,MED085-B02,4,481.47,10,1733.29,UPI
SALE002641,2025-05-05,MED072,MED072-B03,2,330.20,10,594.36,Cash
SALE003239,2025-05-05,MED005,MED005-B04,5,812.11,0,4060.55,Card
SALE004965,2025-05-05,MED014,MED014-B01,5,335.30,0,1676.50,Card
SALE005193,2025-05-05,MED074,MED074-B05,4,125.50,0,502.00,Cash
SALE005613,2025-05-05,MED083,MED083-B03,8,68.43,10,492.70,Card
SALE005763,2025-05-05,MED002,MED002-B03,4,552.89,12,1946.17,Cash
SALE006659,2025-05-05,MED081,MED081-B05,2,389.41,12,685.36,Card
SALE008096,2025-05-05,MED040,MED040-B03,3,506.76,0,1520.28,Cash
SALE008392,2025-05-05,MED023,MED023-B05,1,461.43,12,406.06,Card
SALE008394,2025-05-05,MED091,MED091-B03,2,397.49,12,699.58,Cash
SALE009119,2025-05-05,MED073,MED073-B03,7,209.82,0,1468.74,Card
SALE009143,2025-05-05,MED052,MED052-B04,5,569.20,12,2504.48,Card
SALE009427,2025-05-05,MED091,MED091-B03,1,422.43,5,401.31,Card
SALE011423,2025-05-05,MED081,MED081-B05,5,441.96,0,2209.80,Cash
SALE012438,2025-05-05,MED078,MED078-B03,2,404.58,0,809.16,Card
SALE012805,2025-05-05,MED002,MED002-B03,3,570.78,5,1626.72,UPI
SALE014622,2025-05-05,MED001,MED001-B05,6,380.62,10,2055.35,Card
SALE014999,2025-05-05,MED012,MED012-B01,4,282.07,10,1015.45,UPI
SALE017411,2025-05-05,MED020,MED020-B02,4,147.59,0,590.36,Card
SALE017949,2025-05-05,MED083,MED083-B01,7,69.46,10,437.60,Cash
SALE018298,2025-05-05,MED083,MED083-B01,6,72.58,0,435.48,UPI
SALE018446,2025-05-05,MED081,MED081-B05,5,437.94,0,2189.70,UPI
SALE019085,2025-05-05,MED020,MED020-B02,8,153.39,10,1104.41,Cash
SALE019822,2025-05-05,MED081,MED081-B05,6,433.79,0,2602.74,UPI
SALE023661,2025-05-05,MED030,MED030-B03,7,237.56,10,1496.63,Card
SALE026606,2025-05-05,MED028,MED028-B04,5,48.12,10,216.54,Card
SALE029832,2025-05-05,MED059,MED059-B02,8,309.14,0,2473.12,Card
SALE002217,2025-05-06,MED022,MED022-B04,6,177.29,0,1063.74,Cash
SALE002429,2025-05-06,MED068,MED068-B02,1,293.42,0,293.42,Card
SALE003604,2025-05-06,MED090,MED090-B04,8,493.50,12,3474.24,UPI
SALE003980,2025-05-06,MED001,MED001-B05,4,385.31,10,1387.12,UPI
SALE004280,2025-05-06,MED003,MED003-B03,4,271.36,0,1085.44,Card
SALE004617,2025-05-06,MED033,MED033-B02,6,34.10,10,184.14,UPI
SALE005140,2025-05-06,MED094,MED094-B03,8,58.76,12,413.67,Card
SALE006382,2025-05-06,MED056,MED056-B03,6,373.61,10,2017.49,UPI
SALE006397,2025-05-06,MED016,MED016-B04,5,60.50,12,266.20,UPI
SALE006779,2025-05-06,MED044,MED044-B03,8,63.92,12,450.00,Cash
SALE009301,2025-05-06,MED094,MED094-B03,1,56.09,10,50.48,Card
SALE009414,2025-05-06,MED005,MED005-B04,2,839.67,0,1679.34,Card
SALE011458,2025-05-06,MED078,MED078-B03,2,393.48,5,747.61,UPI
SALE012110,2025-05-06,MED090,MED090-B01,3,459.72,0,1379.16,UPI
SALE012761,2025-05-06,MED056,MED056-B03,7,388.76,0,2721.32,Cash
SALE013780,2025-05-06,MED023,MED023-B05,6,502.38,5,2863.57,UPI
SALE014208,2025-05-06,MED057,MED057-B03,7,437.45,5,2909.04,Cash
SALE015929,2025-05-06,MED030,MED030-B03,7,237.43,5,1578.91,Card
SALE017278,2025-05-06,MED054,MED054-B04,3,340.30,10,918.81,UPI
SALE017552,2025-05-06,MED002,MED002-B03,3,578.64,10,1562.33,Card
SALE019846,2025-05-06,MED081,MED081-B05,4,396.65,10,1427.94,Card
SALE020306,2025-05-06,MED030,MED030-B03,2,244.01,5,463.62,Cash
SALE023520,2025-05-06,MED081,MED081-B01,3,391.73,0,1175.19,Cash
SALE026768,2025-05-06,MED089,MED089-B03,7,561.45,5,3733.64,Card
SALE028794,2025-05-06,MED044,MED044-B02,6,71.64,0,429.84,Cash
SALE029884,2025-05-06,MED070,MED070-B01,1,313.85,0,313.85,Cash
