batch_no,medicine_id,purchase_date,expiry_date,opening_stock,stock_in_hand,unit_cost,supplier_name,inventory_value
MED008-B01,MED008,2026-02-16,2026-08-25,351,0,68.79,MediBridge Supply,0.00
MED008-B03,MED008,2025-07-25,2026-12-13,697,0,68.79,Wellroute Healthcare,0.00
MED009-B01,MED009,2025-05-08,2026-02-17,815,0,171.45,Prime MedSupply,0.00
MED009-B02,MED009,2025-08-08,2026-03-29,443,0,171.45,CareHub Distributors,0.00
MED009-B03,MED009,2025-07-09,2026-06-13,584,403,171.45,CareHub Distributors,69094.35
MED009-B04,MED009,2026-03-03,2027-06-09,282,282,171.45,Wellroute Healthcare,48348.90
MED009-B05,MED009,2025-08-31,2027-07-29,499,499,171.45,Wellroute Healthcare,85553.55
MED010-B02,MED010,2025-06-28,2026-07-19,869,0,190.48,MediBridge Supply,0.00
MED010-B03,MED010,2026-02-03,2026-09-20,880,797,190.48,Urban Pharma Chain,151812.56
MED010-B01,MED010,2026-01-22,2027-08-07,446,440,190.48,MediBridge Supply,83811.20
MED011-B03,MED011,2025-11-13,2026-10-31,277,0,245.38,Urban Pharma Chain,0.00
MED011-B05,MED011,2025-12-02,2027-03-16,788,0,245.38,Urban Pharma Chain,0.00
MED011-B02,MED011,2026-01-08,2027-07-17,868,828,245.38,MediBridge Supply,203174.64
MED011-B04,MED011,2026-01-01,2027-10-08,448,448,245.38,Apex Wholesale,109930.24
MED011-B01,MED011,2026-03-28,2027-10-30,537,537,245.38,Urban Pharma Chain,131769.06
MED012-B01,MED012,2025-04-21,2025-11-24,733,0,142.12,CareHub Distributors,0.00
MED012-B03,MED012,2025-06-04,2025-12-24,284,0,142.12,Wellroute Healthcare,0.00
MED012-B02,MED012,2025-10-18,2026-12-30,748,0,142.12,Apex Wholesale,0.00
MED013-B03,MED013,2025-07-20,2026-04-21,341,0,362.70,Prime MedSupply,0.00
MED013-B02,MED013,2026-01-30,2027-03-30,822,296,362.70,Apex Wholesale,107359.20
MED013-B01,MED013,2025-10-12,2027-08-17,272,0,362.70,Wellroute Healthcare,0.00
MED013-B04,MED013,2026-04-03,2027-11-19,731,731,362.70,Urban Pharma Chain,265133.70
MED014-B03,MED014,2025-07-09,2026-08-10,189,0,175.33,Apex Wholesale,0.00
MED014-B02,MED014,2026-03-23,2026-10-04,866,712,175.33,CareHub Distributors,124834.96
MED014-B01,MED014,2025-03-06,2026-11-05,350,0,175.33,Wellroute Healthcare,0.00
MED015-B04,MED015,2025-11-28,2026-07-08,900,0,378.72,Apex Wholesale,0.00
MED015-B05,MED015,2026-01-28,2026-09-30,816,781,378.72,Apex Wholesale,295780.32
MED015-B03,MED015,2026-01-06,2026-10-23,275,272,378.72,CareHub Distributors,103011.84
MED015-B01,MED015,2025-08-25,2026-11-24,813,215,378.72,Urban Pharma Chain,81424.80
MED015-B02,MED015,2026-02-02,2027-08-21,554,554,378.72,CareHub Distributors,209810.88
MED016-B04,MED016,2025-03-27,2025-11-04,304,0,30.37,Apex Wholesale,0.00
MED016-B03,MED016,2025-11-03,2026-11-12,248,0,30.37,Wellroute Healthcare,0.00
MED016-B01,MED016,2026-01-25,2027-05-27,325,0,30.37,MediBridge Supply,0.00
MED016-B02,MED016,2026-03-21,2027-09-19,383,355,30.37,Prime MedSupply,10781.35
MED017-B03,MED017,2025-06-01,2026-04-17,466,0,292.68,Wellroute Healthcare,0.00
MED017-B02,MED017,2025-06-29,2026-07-21,695,0,292.68,MediBridge Supply,0.00
MED017-B01,MED017,2026-01-22,2027-10-18,525,254,292.68,MediBridge Supply,74340.72
MED018-B03,MED018,2025-03-25,2026-02-19,851,0,377.34,Wellroute Healthcare,0.00
MED018-B05,MED018,2025-10-08,2026-05-18,843,256,377.34,MediBridge Supply,96599.04
MED018-B02,MED018,2026-04-01,2026-09-21,538,538,377.34,Apex Wholesale,203008.92
MED018-B04,MED018,2025-06-25,2027-02-16,780,556,377.34,Prime MedSupply,209801.04
MED018-B01,MED018,2026-04-08,2028-03-24,560,560,377.34,Prime MedSupply,211310.40
MED019-B01,MED019,2025-09-04,2026-10-27,469,0,377.55,MediBridge Supply,0.00
MED019-B04,MED019,2026-03-08,2026-12-08,450,387,377.55,Urban Pharma Chain,146111.85
MED019-B02,MED019,2026-03-24,2027-05-29,677,677,377.55,Prime MedSupply,255601.35
MED019-B03,MED019,2025-11-20,2027-07-15,861,741,377.55,Wellroute Healthcare,279764.55
MED020-B03,MED020,2025-06-09,2026-03-20,194,0,96.58,Apex Wholesale,0.00
MED020-B04,MED020,2026-03-02,2026-08-05,844,661,96.58,Apex Wholesale,63839.38
MED020-B02,MED020,2025-04-05,2027-01-15,754,0,96.58,Wellroute Healthcare,0.00
MED020-B05,MED020,2025-08-04,2027-02-12,516,304,96.58,Wellroute Healthcare,29360.32
MED020-B01,MED020,2025-10-15,2027-07-24,796,796,96.58,Urban Pharma Chain,76877.68
MED021-B02,MED021,2026-03-09,2026-08-31,331,0,101.41,Urban Pharma Chain,0.00
MED021-B04,MED021,2025-10-30,2026-09-06,520,0,101.41,Urban Pharma Chain,0.00
MED021-B01,MED021,2026-01-11,2027-04-13,312,89,101.41,MediBridge Supply,9025.49
MED021-B03,MED021,2025-08-25,2027-05-13,518,0,101.41,Prime MedSupply,0.00
MED021-B05,MED021,2025-12-29,2027-11-26,252,223,101.41,CareHub Distributors,22614.43
MED022-B01,MED022,2026-02-22,2026-09-20,307,0,87.56,Wellroute Healthcare,0.00
MED022-B02,MED022,2026-01-10,2026-10-24,224,0,87.56,MediBridge Supply,0.00
MED022-B04,MED022,2025-03-27,2026-12-24,305,0,87.56,Wellroute Healthcare,0.00
MED022-B03,MED022,2025-12-19,2027-04-05,360,0,87.56,Prime MedSupply,0.00
MED023-B02,MED023,2026-01-12,2026-07-26,218,0,276.94,Urban Pharma Chain,0.00
MED023-B03,MED023,2025-12-01,2026-08-06,716,145,276.94,Apex Wholesale,40156.30
MED023-B05,MED023,2025-05-02,2026-11-22,668,0,276.94,MediBridge Supply,0.00
MED023-B04,MED023,2026-02-10,2027-10-04,771,771,276.94,Urban Pharma Chain,213520.74
MED023-B01,MED023,2025-12-07,2027-11-24,250,250,276.94,Prime MedSupply,69235.00
MED024-B01,MED024,2025-10-11,2026-07-19,821,0,164.82,CareHub Distributors,0.00
MED024-B02,MED024,2025-09-22,2027-01-21,784,340,164.82,Prime MedSupply,56038.80
MED024-B03,MED024,2026-03-01,2027-04-03,485,485,164.82,Wellroute Healthcare,79937.70
MED025-B03,MED025,2025-06-04,2026-01-20,278,0,360.58,CareHub Distributors,0.00
MED025-B01,MED025,2025-09-25,2026-09-01,432,0,360.58,Prime MedSupply,0.00
MED025-B04,MED025,2025-08-10,2027-05-11,412,0,360.58,Wellroute Healthcare,0.00
MED025-B02,MED025,2026-02-26,2027-07-03,297,188,360.58,MediBridge Supply,67789.04
MED026-B02,MED026,2025-06-14,2026-11-18,405,0,222.99,Urban Pharma Chain,0.00
MED026-B01,MED026,2026-01-14,2026-12-18,750,328,222.99,Wellroute Healthcare,73140.72
MED026-B03,MED026,2026-02-06,2027-02-03,608,608,222.99,Wellroute Healthcare,135577.92
MED026-B04,MED026,2025-11-10,2027-07-14,547,270,222.99,Prime MedSupply,60207.30
MED027-B03,MED027,2025-08-31,2026-01-28,838,0,409.27,Wellroute Healthcare,0.00
MED027-B04,MED027,2025-05-29,2026-11-09,642,0,409.27,MediBridge Supply,0.00
MED027-B02,MED027,2025-06-13,2027-05-29,238,0,409.27,CareHub Distributors,0.00
MED027-B01,MED027,2026-01-05,2027-11-04,833,631,409.27,Apex Wholesale,258249.37
MED028-B05,MED028,2025-04-06,2026-01-03,510,0,24.12,Prime MedSupply,0.00
MED028-B01,MED028,2025-09-19,2026-06-21,678,0,24.12,CareHub Distributors,0.00
MED028-B03,MED028,2025-10-01,2026-07-27,344,0,24.12,CareHub Distributors,0.00
MED028-B02,MED028,2026-03-06,2026-11-16,560,535,24.12,MediBridge Supply,12904.20
MED028-B04,MED028,2025-03-10,2027-01-07,406,0,24.12,Apex Wholesale,0.00
MED029-B02,MED029,2025-08-17,2026-02-12,526,0,345.03,Urban Pharma Chain,0.00
MED029-B03,MED029,2025-07-12,2026-06-20,873,411,345.03,Wellroute Healthcare,141807.33
MED029-B01,MED029,2026-02-16,2026-09-27,604,604,345.03,CareHub Distributors,208398.12
MED029-B04,MED029,2025-12-30,2027-06-16,693,693,345.03,Wellroute Healthcare,239105.79
MED029-B05,MED029,2025-08-18,2027-07-21,747,747,345.03,MediBridge Supply,257737.41
MED030-B05,MED030,2025-06-21,2025-12-18,208,0,118.90,CareHub Distributors,0.00
MED030-B02,MED030,2025-05-15,2025-12-28,279,0,118.90,Wellroute Healthcare,0.00
MED030-B04,MED030,2025-09-21,2027-02-09,648,0,118.90,Wellroute Healthcare,0.00
MED030-B03,MED030,2025-04-01,2027-02-13,396,0,118.90,Urban Pharma Chain,0.00
MED030-B01,MED030,2025-11-06,2027-09-17,775,691,118.90,Wellroute Healthcare,82159.90
MED031-B01,MED031,2026-03-15,2026-08-19,621,291,150.02,CareHub Distributors,43655.82
MED031-B02,MED031,2026-03-22,2026-08-21,374,374,150.02,CareHub Distributors,56107.48
MED031-B03,MED031,2025-10-19,2027-06-17,825,0,150.02,Wellroute Healthcare,0.00
MED031-B04,MED031,2025-11-28,2027-09-08,604,398,150.02,Apex Wholesale,59707.96
MED032-B03,MED032,2025-08-16,2027-05-26,193,0,33.10,MediBridge Supply,0.00
MED032-B02,MED032,2025-08-16,2027-05-29,227,0,33.10,MediBridge Supply,0.00
MED032-B01,MED032,2025-10-03,2027-06-18,688,0,33.10,MediBridge Supply,0.00
MED033-B03,MED033,2025-10-18,2026-07-03,519,0,19.35,Apex Wholesale,0.00
MED033-B01,MED033,2025-11-05,2026-08-17,232,0,19.35,Apex Wholesale,0.00
MED033-B02,MED033,2025-02-28,2026-12-16,421,0,19.35,MediBridge Supply,0.00
MED034-B01,MED034,2025-09-22,2026-09-09,773,0,56.13,Wellroute Healthcare,0.00
MED034-B02,MED034,2025-12-18,2026-11-26,584,344,56.13,Wellroute Healthcare,19308.72
MED034-B03,MED034,2025-12-11,2027-01-20,437,421,56.13,MediBridge Supply,23630.73
MED035-B02,MED035,2026-01-09,2026-09-05,195,0,102.05,Wellroute Healthcare,0.00
MED035-B04,MED035,2025-11-26,2027-06-01,860,58,102.05,Prime MedSupply,5918.90
MED035-B01,MED035,2026-01-19,2027-06-18,560,560,102.05,Wellroute Healthcare,57148.00
MED035-B03,MED035,2026-01-26,2027-09-09,788,788,102.05,Apex Wholesale,80415.40
MED036-B02,MED036,2025-03-10,2026-07-05,284,0,361.57,Urban Pharma Chain,0.00
MED036-B03,MED036,2025-11-23,2026-08-25,337,0,361.57,CareHub Distributors,0.00
MED036-B01,MED036,2025-09-11,2027-01-27,685,139,361.57,Wellroute Healthcare,50258.23
MED037-B02,MED037,2025-04-08,2026-02-10,772,0,178.91,MediBridge Supply,0.00
MED037-B03,MED037,2026-03-20,2027-06-03,728,548,178.91,Wellroute Healthcare,98042.68
MED037-B01,MED037,2025-11-02,2027-09-09,848,125,178.91,Prime MedSupply,22363.75
MED038-B05,MED038,2025-10-23,2026-05-02,589,0,49.36,MediBridge Supply,0.00
MED038-B02,MED038,2025-08-21,2026-08-14,325,0,49.36,MediBridge Supply,0.00
MED038-B01,MED038,2025-12-25,2027-01-22,262,64,49.36,Prime MedSupply,3159.04
MED038-B03,MED038,2026-04-03,2027-01-28,693,693,49.36,Prime MedSupply,34206.48
MED038-B04,MED038,2026-03-27,2028-02-12,587,587,49.36,Urban Pharma Chain,28974.32
MED039-B03,MED039,2025-03-02,2026-01-30,648,0,330.70,Prime MedSupply,0.00
MED039-B02,MED039,2025-08-14,2026-04-14,716,25,330.70,Wellroute Healthcare,8267.50
MED039-B04,MED039,2025-12-28,2026-11-28,397,353,330.70,Urban Pharma Chain,116737.10
MED039-B01,MED039,2025-12-16,2027-02-17,379,379,330.70,Apex Wholesale,125335.30
MED039-B05,MED039,2025-10-29,2027-08-19,352,352,330.70,CareHub Distributors,116406.40
MED040-B04,MED040,2025-11-13,2026-05-19,475,0,327.85,Wellroute Healthcare,0.00
MED040-B03,MED040,2025-04-17,2026-12-27,646,0,327.85,Apex Wholesale,0.00
MED040-B01,MED040,2026-01-19,2027-11-08,391,295,327.85,MediBridge Supply,96715.75
MED040-B02,MED040,2026-03-16,2028-02-06,730,730,327.85,Prime MedSupply,239330.50
MED041-B02,MED041,2026-02-11,2026-07-27,465,0,120.35,Urban Pharma Chain,0.00
MED041-B03,MED041,2025-05-14,2026-12-23,784,0,120.35,MediBridge Supply,0.00
MED041-B01,MED041,2025-06-06,2027-05-24,338,0,120.35,CareHub Distributors,0.00
MED042-B02,MED042,2025-09-03,2026-09-26,394,0,14.16,Wellroute Healthcare,0.00
MED042-B04,MED042,2026-03-29,2026-11-08,226,120,14.16,MediBridge Supply,1699.20
MED042-B01,MED042,2026-01-17,2027-01-17,803,494,14.16,Apex Wholesale,6995.04
MED042-B03,MED042,2026-03-30,2028-01-11,852,852,14.16,Apex Wholesale,12064.32
MED043-B03,MED043,2025-06-04,2025-11-26,518,0,20.27,Prime MedSupply,0.00
MED043-B02,MED043,2025-06-08,2026-05-26,449,0,20.27,MediBridge Supply,0.00
MED043-B01,MED043,2026-03-30,2027-01-11,708,620,20.27,Wellroute Healthcare,12567.40
MED043-B04,MED043,2025-08-16,2027-04-13,256,0,20.27,MediBridge Supply,0.00
MED044-B03,MED044,2025-03-22,2025-11-26,662,0,34.39,MediBridge Supply,0.00
MED044-B04,MED044,2025-07-14,2025-12-25,618,57,34.39,CareHub Distributors,1960.23
MED044-B01,MED044,2025-11-26,2026-06-11,262,0,34.39,Urban Pharma Chain,0.00
MED044-B02,MED044,2025-03-20,2026-11-29,749,156,34.39,MediBridge Supply,5364.84
MED044-B05,MED044,2026-04-02,2027-11-21,681,681,34.39,MediBridge Supply,23419.59
MED045-B05,MED045,2025-07-08,2025-12-07,326,0,288.22,Prime MedSupply,0.00
MED045-B04,MED045,2025-07-20,2026-02-28,881,0,288.22,CareHub Distributors,0.00
MED045-B02,MED045,2025-07-11,2026-12-07,876,271,288.22,Apex Wholesale,78107.62
MED045-B03,MED045,2025-11-10,2027-01-15,600,600,288.22,MediBridge Supply,172932.00
MED045-B01,MED045,2026-03-07,2027-07-19,245,245,288.22,Apex Wholesale,70613.90
MED046-B01,MED046,2025-06-04,2025-11-11,268,0,312.70,Prime MedSupply,0.00
MED046-B02,MED046,2025-09-20,2026-05-20,244,0,312.70,Prime MedSupply,0.00
MED046-B03,MED046,2025-06-11,2026-11-19,539,0,312.70,Wellroute Healthcare,0.00
MED047-B03,MED047,2025-05-28,2026-05-03,559,0,302.50,Prime MedSupply,0.00
MED047-B01,MED047,2025-05-17,2026-09-20,183,0,302.50,CareHub Distributors,0.00
MED047-B02,MED047,2026-03-14,2027-05-30,190,69,302.50,Wellroute Healthcare,20872.50
MED048-B04,MED048,2025-03-17,2026-10-03,699,0,113.71,Urban Pharma Chain,0.00
MED048-B05,MED048,2025-09-28,2026-11-12,255,0,113.71,Apex Wholesale,0.00
MED048-B03,MED048,2025-07-01,2027-03-24,671,7,113.71,Apex Wholesale,795.97
MED048-B02,MED048,2025-12-18,2027-08-05,463,463,113.71,Urban Pharma Chain,52647.73
MED048-B01,MED048,2026-01-18,2028-01-04,728,728,113.71,MediBridge Supply,82780.88
MED049-B02,MED049,2025-10-28,2027-03-16,852,168,104.27,CareHub Distributors,17517.36
MED049-B01,MED049,2026-03-12,2027-10-01,191,191,104.27,Wellroute Healthcare,19915.57
MED049-B03,MED049,2026-04-11,2027-12-04,461,461,104.27,Wellroute Healthcare,48068.47
MED050-B04,MED050,2025-12-14,2026-07-06,225,0,8.15,CareHub Distributors,0.00
MED050-B03,MED050,2025-05-28,2026-12-03,325,0,8.15,Prime MedSupply,0.00
MED050-B02,MED050,2026-04-09,2026-12-28,245,190,8.15,Wellroute Healthcare,1548.50
MED050-B05,MED050,2025-07-25,2027-04-08,849,255,8.15,MediBridge Supply,2078.25
MED050-B01,MED050,2025-09-02,2027-06-18,730,730,8.15,MediBridge Supply,5949.50
MED051-B03,MED051,2025-08-13,2027-01-09,393,0,278.76,Wellroute Healthcare,0.00
MED051-B01,MED051,2025-09-21,2027-04-23,773,0,278.76,Wellroute Healthcare,0.00
MED051-B04,MED051,2025-07-10,2027-05-09,887,0,278.76,CareHub Distributors,0.00
MED051-B02,MED051,2025-11-12,2027-09-22,347,317,278.76,CareHub Distributors,88366.92
MED052-B02,MED052,2025-05-10,2026-04-04,789,0,277.06,Prime MedSupply,0.00
MED052-B04,MED052,2025-03-21,2026-10-23,441,0,277.06,CareHub Distributors,0.00
MED052-B03,MED052,2026-03-10,2026-12-15,192,15,277.06,MediBridge Supply,4155.90
MED052-B01,MED052,2025-09-07,2027-04-01,689,4,277.06,Urban Pharma Chain,1108.24
MED053-B03,MED053,2025-03-05,2026-12-09,292,0,249.10,MediBridge Supply,0.00
MED053-B01,MED053,2025-10-06,2027-03-10,400,0,249.10,Apex Wholesale,0.00
MED053-B05,MED053,2025-11-18,2027-03-19,508,0,249.10,CareHub Distributors,0.00
MED053-B02,MED053,2026-03-07,2027-04-08,258,226,249.10,MediBridge Supply,56296.60
MED053-B04,MED053,2025-10-10,2027-08-30,318,186,249.10,Prime MedSupply,46332.60
MED054-B04,MED054,2025-03-16,2026-01-05,625,0,249.82,Prime MedSupply,0.00
MED054-B03,MED054,2025-05-16,2026-11-03,580,0,249.82,MediBridge Supply,0.00
MED054-B01,MED054,2026-02-11,2027-01-04,668,544,249.82,Urban Pharma Chain,135902.08
MED054-B02,MED054,2025-10-21,2027-02-03,836,616,249.82,MediBridge Supply,153889.12
MED055-B03,MED055,2026-04-09,2026-09-06,796,736,283.19,Prime MedSupply,208427.84
MED055-B01,MED055,2025-07-17,2026-11-13,757,0,283.19,CareHub Distributors,0.00
MED055-B02,MED055,2025-12-25,2027-03-02,297,0,283.19,Prime MedSupply,0.00
MED056-B02,MED056,2025-08-25,2026-02-26,675,0,209.23,Prime MedSupply,0.00
MED056-B03,MED056,2025-03-02,2026-04-17,812,0,209.23,Prime MedSupply,0.00
MED056-B01,MED056,2025-10-26,2026-08-11,658,436,209.23,MediBridge Supply,91224.28
MED057-B02,MED057,2025-06-13,2026-03-09,408,0,309.57,Urban Pharma Chain,0.00
MED057-B01,MED057,2025-04-25,2027-02-14,194,0,309.57,Wellroute Healthcare,0.00
MED057-B03,MED057,2025-04-05,2027-03-02,235,0,309.57,MediBridge Supply,0.00
MED058-B01,MED058,2025-08-30,2026-02-04,675,0,73.13,CareHub Distributors,0.00
MED058-B02,MED058,2025-09-11,2026-10-03,894,458,73.13,Apex Wholesale,33493.54
MED058-B04,MED058,2025-08-09,2026-12-23,469,320,73.13,Apex Wholesale,23401.60
MED058-B03,MED058,2025-10-27,2027-06-30,616,616,73.13,Apex Wholesale,45048.08
MED059-B02,MED059,2025-04-11,2025-10-13,856,77,176.85,Wellroute Healthcare,13617.45
MED059-B01,MED059,2025-04-06,2026-07-07,475,0,176.85,Wellroute Healthcare,0.00
MED059-B04,MED059,2025-12-01,2026-07-12,751,554,176.85,Wellroute Healthcare,97974.90
MED059-B03,MED059,2026-01-07,2027-01-13,607,607,176.85,Wellroute Healthcare,107347.95
MED060-B04,MED060,2025-08-16,2026-04-11,336,0,363.54,MediBridge Supply,0.00
MED060-B03,MED060,2025-10-28,2026-06-17,680,115,363.54,Wellroute Healthcare,41807.10
MED060-B01,MED060,2025-10-26,2026-08-04,227,220,363.54,Apex Wholesale,79978.80
MED060-B02,MED060,2025-06-29,2026-10-03,260,0,363.54,Prime MedSupply,0.00
MED061-B03,MED061,2025-07-05,2026-09-03,773,0,174.11,CareHub Distributors,0.00
MED061-B01,MED061,2025-07-23,2026-09-29,432,0,174.11,CareHub Distributors,0.00
MED061-B02,MED061,2025-12-02,2027-06-24,765,327,174.11,Prime MedSupply,56933.97
MED062-B02,MED062,2025-07-22,2026-07-10,671,0,308.15,Prime MedSupply,0.00
MED062-B04,MED062,2026-01-14,2026-10-01,402,0,308.15,Apex Wholesale,0.00
MED062-B03,MED062,2025-09-20,2027-01-18,454,0,308.15,Apex Wholesale,0.00
MED062-B05,MED062,2025-10-17,2027-06-02,701,572,308.15,Apex Wholesale,176261.80
MED062-B01,MED062,2025-12-28,2027-11-02,357,357,308.15,Prime MedSupply,110009.55
MED063-B01,MED063,2025-05-29,2026-08-13,479,0,79.93,MediBridge Supply,0.00
MED063-B04,MED063,2026-02-13,2026-10-11,815,368,79.93,Urban Pharma Chain,29414.24
MED063-B05,MED063,2025-10-12,2027-04-19,386,0,79.93,Apex Wholesale,0.00
MED063-B02,MED063,2025-10-11,2027-06-21,368,172,79.93,Urban Pharma Chain,13747.96
MED063-B03,MED063,2026-02-16,2027-12-03,698,698,79.93,Urban Pharma Chain,55791.14
MED064-B01,MED064,2025-12-10,2026-07-07,343,0,402.85,Urban Pharma Chain,0.00
MED064-B02,MED064,2025-07-25,2026-08-31,695,0,402.85,Apex Wholesale,0.00
MED064-B04,MED064,2026-01-04,2027-01-31,817,611,402.85,Prime MedSupply,246141.35
MED064-B03,MED064,2025-11-12,2027-04-16,419,302,402.85,Urban Pharma Chain,121660.70
MED065-B03,MED065,2025-11-15,2026-05-19,721,0,386.69,CareHub Distributors,0.00
MED065-B01,MED065,2025-08-23,2026-12-26,444,0,386.69,Apex Wholesale,0.00
MED065-B02,MED065,2026-01-03,2027-03-28,310,137,386.69,Wellroute Healthcare,52976.53
MED066-B04,MED066,2025-04-26,2027-02-01,600,0,217.70,CareHub Distributors,0.00
MED066-B01,MED066,2025-12-13,2027-03-03,818,342,217.70,Prime MedSupply,74453.40
MED066-B03,MED066,2025-07-28,2027-05-31,394,0,217.70,Apex Wholesale,0.00
MED066-B02,MED066,2026-03-04,2028-01-05,525,525,217.70,Wellroute Healthcare,114292.50
MED067-B05,MED067,2025-10-22,2026-05-07,363,0,51.12,Apex Wholesale,0.00
MED067-B04,MED067,2026-02-15,2026-10-14,632,340,51.12,Wellroute Healthcare,17380.80
MED067-B01,MED067,2025-09-26,2027-01-14,455,0,51.12,Wellroute Healthcare,0.00
MED067-B02,MED067,2025-10-28,2027-03-23,425,232,51.12,Apex Wholesale,11859.84
MED067-B03,MED067,2026-03-01,2027-05-23,532,532,51.12,CareHub Distributors,27195.84
MED068-B03,MED068,2025-08-02,2026-01-23,494,0,159.47,MediBridge Supply,0.00
MED068-B02,MED068,2025-03-13,2026-04-02,466,0,159.47,Urban Pharma Chain,0.00
MED068-B01,MED068,2025-09-18,2027-06-20,814,312,159.47,Urban Pharma Chain,49754.64
MED069-B04,MED069,2025-06-27,2026-04-17,452,0,311.92,Apex Wholesale,0.00
MED069-B01,MED069,2025-06-28,2026-10-18,858,250,311.92,Apex Wholesale,77980.00
MED069-B02,MED069,2025-11-05,2027-04-06,285,285,311.92,Prime MedSupply,88897.20
MED069-B03,MED069,2026-02-25,2027-10-17,263,263,311.92,Wellroute Healthcare,82034.96
MED070-B04,MED070,2025-12-30,2026-06-24,296,0,199.84,Apex Wholesale,0.00
MED070-B03,MED070,2025-09-02,2026-08-11,234,0,199.84,CareHub Distributors,0.00
MED070-B02,MED070,2025-08-15,2026-08-19,419,0,199.84,Apex Wholesale,0.00
MED070-B01,MED070,2025-03-27,2027-03-05,869,445,199.84,MediBridge Supply,88928.80
MED071-B01,MED071,2025-12-22,2026-10-09,700,0,290.44,Prime MedSupply,0.00
MED071-B03,MED071,2025-09-10,2027-06-16,264,0,290.44,Urban Pharma Chain,0.00
MED071-B02,MED071,2026-01-08,2027-09-10,358,85,290.44,Urban Pharma Chain,24687.40
MED072-B03,MED072,2025-04-23,2026-04-10,241,0,162.51,Urban Pharma Chain,0.00
MED072-B01,MED072,2025-07-07,2026-12-12,444,0,162.51,MediBridge Supply,0.00
MED072-B02,MED072,2025-10-17,2027-08-08,256,0,162.51,Apex Wholesale,0.00
MED073-B03,MED073,2025-03-01,2025-12-22,360,0,134.16,Wellroute Healthcare,0.00
MED073-B01,MED073,2025-07-27,2026-08-19,372,0,134.16,Wellroute Healthcare,0.00
MED073-B02,MED073,2026-04-04,2027-09-21,197,107,134.16,Wellroute Healthcare,14355.12
MED074-B02,MED074,2025-10-08,2026-10-13,577,0,67.54,CareHub Distributors,0.00
MED074-B05,MED074,2025-03-23,2026-10-31,306,0,67.54,Urban Pharma Chain,0.00
MED074-B03,MED074,2026-02-05,2027-06-14,427,239,67.54,Apex Wholesale,16142.06
MED074-B01,MED074,2026-01-31,2027-07-15,602,582,67.54,MediBridge Supply,39308.28
MED074-B04,MED074,2026-03-30,2027-11-20,353,353,67.54,Urban Pharma Chain,23841.62
